turn,player,budget,action1,action2,action3,action4,action5,action6
1,1,1,Collect frequency:2,Maintenance of water treatment facilities:false,Install water treatment facilities for every home:(P1%50;P2%50;P3%50;P4%50;),Organise sensibilization events about waste sorting,Help farmers to buy manure:low
1,2,0,Collect frequency:4,Maintenance of water treatment facilities:true,Help farmers to buy manure:low
1,3,4,Collect frequency:2,Maintenance of water treatment facilities:true,Help farmers to buy manure:high
1,4,2,Collect frequency:2,Maintenance of water treatment facilities:true,Trimestrial collective waste collection:high
2,1,14,Collect frequency:4,Maintenance of water treatment facilities:true,Drain and dredge:low,Organise sensibilization events about waste sorting
2,2,12,Collect frequency:2,Maintenance of water treatment facilities:true,Help farmers to buy manure:high,Drain and dredge:low
2,3,2,Collect frequency:4,Maintenance of water treatment facilities:true,Help farmers to buy manure:high,Organise sensibilization events about waste sorting
2,4,7,Collect frequency:4,Maintenance of water treatment facilities:true,Drain and dredge:high
3,1,16,Collect frequency:4,Maintenance of water treatment facilities:true,Drain and dredge:low,Organise sensibilization events about waste sorting
3,2,0,Collect frequency:4,Maintenance of water treatment facilities:true,Help farmers to buy manure:high,Organise sensibilization events about waste sorting
3,3,5,Collect frequency:7,Maintenance of water treatment facilities:true,Organise sensibilization events about waste sorting
3,4,5,Collect frequency:2,Maintenance of water treatment facilities:true,Organise sensibilization events about waste sorting,Trimestrial collective waste collection:low,Make farmers participate in building collection pits for pesticide packagings
4,1,3,Collect frequency:7,Maintenance of water treatment facilities:true,Organise sensibilization events about waste sorting
4,2,2,Collect frequency:4,Maintenance of water treatment facilities:true,Help farmers to buy manure:high,Organise sensibilization events about waste sorting
4,3,11,Collect frequency:4,Maintenance of water treatment facilities:true,Organise sensibilization events about waste sorting,Make farmers participate in building collection pits for pesticide packagings
4,4,14,Collect frequency:4,Maintenance of water treatment facilities:true,Organise sensibilization events about waste sorting,Trimestrial collective waste collection:high
5,1,9,Collect frequency:7,Maintenance of water treatment facilities:true,Organise sensibilization events about waste sorting
5,2,4,Collect frequency:4,Maintenance of water treatment facilities:true,Help farmers to buy manure:high,Organise sensibilization events about waste sorting
5,3,6,Collect frequency:4,Maintenance of water treatment facilities:true,Drain and dredge:high,Organise sensibilization events about waste sorting
5,4,6,Collect frequency:2,Maintenance of water treatment facilities:true,Help farmers to buy manure:high,Drain and dredge:high
